AiDepthScaling;AiMaxDepth;AiMinDepth;DistanceToFoodReward;CrashCost;FoodReward;MoveCost;Score
5,7;2;2;-23;777;-85;-78;0
1,9;6;0;-79;816;-26;-28;0
7,9;9;4;52;473;-19;-96;0
1,2;6;2;-36;268;-81;92;0
0,6;8;0;-56;299;-64;-11;0
7,9;0;4;79;881;-34;-22;0
9,1;2;0;67;24;-79;22;0
5,1;7;0;19;524;-94;93;0
6,4;0;4;-8;980;-70;-10;0
7,8;0;4;-7;109;82;-75;0
9,1;8;2;25;-20;25;98;0
3,2;2;3;-56;987;-30;-59;0
1,3;0;2;59;63;-4;11;0
0,1;0;1;82;97;88;-69;240
2,7;3;4;84;114;-4;-73;0
8,9;5;1;-2;344;94;19;60
7,2;2;3;98;782;-52;-38;0
9,2;4;3;-92;372;14;29;0
7,6;1;1;78;655;67;78;240
9,7;6;1;58;851;-87;-90;0
5,1;1;4;48;464;91;-52;0
8,1;6;4;-25;666;69;-41;0
8,7;2;2;52;904;-2;-30;0
4,5;9;0;43;48;40;-76;0
6;3;1;87;93;-48;49;0
2,3;8;2;83;573;-20;-17;0
4,2;4;0;97;987;19;89;0
4;7;0;90;536;39;-81;0
2,5;7;2;-25;180;-77;-90;0
3,2;5;4;4;543;9;-59;280
4,4;0;3;-40;-5;87;28;0
5,2;1;4;-71;16;-65;-93;0
6,7;2;2;19;518;29;-59;240
0,8;0;2;-29;214;-27;96;0
8,3;1;3;-20;-48;47;-80;0
6,1;2;1;-2;739;-10;90;0
5,4;4;4;-71;937;-98;45;0
3,1;3;4;-96;890;-100;29;0
0;2;3;60;527;32;-28;0
9,8;3;0;-89;379;86;38;0
9,7;3;1;59;115;-50;-90;0
6,2;5;1;-32;285;-49;7;0
8,7;7;3;-71;708;-10;3;0
0,3;4;0;-62;772;18;23;0
1,1;8;1;1;-10;-94;11;0
0;7;2;40;729;19;-31;240
7,1;3;4;-56;345;65;-25;0
6,2;4;3;40;426;-65;-77;0
8,2;1;4;-20;624;-13;86;0
7,2;1;2;-47;143;95;1;0
9,7;2;4;96;843;-66;74;0
1,2;1;4;-23;742;-53;-36;0
4;6;1;20;841;-12;-2;0
6,2;6;4;-81;75;-18;-65;0
2;4;3;-64;831;74;97;0
1,8;6;0;24;-92;-52;31;0
9,3;0;3;78;119;21;39;0
5,3;1;4;-28;488;-98;-35;0
6;0;1;39;732;38;-30;240
7,1;0;4;83;301;-33;83;0
9,8;2;1;69;120;67;-57;240
5,9;2;4;92;787;-4;37;0
3,2;8;4;-38;844;32;33;0
6,1;8;4;-50;504;-40;15;0
9,4;6;2;66;197;55;-57;0
8,5;6;3;-33;94;-79;11;0
7,3;3;3;89;130;32;-97;0
2,4;0;2;1;641;-50;-22;0
4,7;2;0;30;486;28;-27;240
6;3;4;7;677;-6;29;0
1,5;1;1;36;508;-79;-6;0
4,2;3;1;-33;606;11;75;0
6,2;9;3;19;476;64;39;0
4,5;6;2;28;414;-63;-25;0
0,8;6;4;0;107;-26;-75;0
8,7;2;1;-76;58;84;-82;0
8,6;7;4;78;-10;-3;-90;0
3,8;2;0;-64;616;89;96;0
5,7;8;4;-83;913;-82;40;0
7,3;5;2;-10;105;50;-31;0
6,2;3;3;-24;888;20;50;0
8,1;4;1;-23;667;-35;17;0
3,3;7;0;7;364;-71;39;0
4;4;2;-56;812;-22;-41;0
2,9;4;4;79;711;41;-74;0
9,1;2;3;50;281;-55;52;0
4,1;5;4;-56;743;-77;52;0
7,1;4;0;52;564;29;-21;0
8,9;3;2;-87;130;-9;-58;0
0;5;3;92;583;-9;2;0
5;3;4;-85;910;87;-17;0
9,5;5;0;-88;204;6;98;0
0,2;6;3;-74;-38;46;17;0
9,6;2;1;-73;749;9;-96;0
9,9;1;3;-71;625;-50;-19;0
1;1;0;36;683;95;-59;240
7,9;3;4;86;917;-57;88;0
8,7;0;4;12;693;85;96;0
1,2;7;4;-71;327;-21;6;0
3,9;4;2;23;208;17;91;0
4,8;6;1;-32;733;-25;83;0
8,5;4;2;69;260;-84;-65;0
0,3;7;2;87;255;-15;-75;0
4,2;0;1;-36;536;34;96;0
9,1;3;1;29;596;96;-20;0
4,2;7;1;92;507;-88;-24;0
2,9;3;3;-88;249;-29;-46;0
6,8;9;0;91;77;66;-29;0
5,8;8;1;-65;672;87;-87;0
0,6;3;4;38;7;54;86;0
0,1;2;1;54;299;48;21;240
7,5;6;3;-48;246;42;-76;0
4,6;2;3;-6;64;-92;-55;0
8,4;0;1;69;37;-37;67;0
9,7;7;0;-57;543;-33;-53;0
6,7;7;4;59;-1;49;34;0
2,5;5;1;-23;150;88;66;0
1,6;1;4;89;701;41;19;0
1,3;8;0;-53;365;54;-66;0
9,3;5;3;46;308;76;56;0
4,4;8;2;-89;225;11;58;0
5,8;1;1;79;312;-100;18;0
5,1;2;2;71;596;28;62;0
8,6;8;3;33;971;-1;6;0
0,1;5;4;71;-36;-91;-37;0
3,2;4;1;-14;63;60;43;0
7,5;7;4;-91;747;16;10;0
2,3;1;1;47;167;93;-16;240
9,8;8;0;-36;-34;-49;16;0
5,9;3;2;-37;949;-45;14;0
8;2;3;-4;821;-81;-64;0
1;7;0;-60;905;95;-79;0
4,3;4;0;63;-12;78;54;0
6,5;2;3;-83;501;-73;-32;0
3,8;4;1;63;237;96;-69;0
8,9;7;0;-19;861;-52;-14;0
0,2;9;2;-71;207;-6;75;0
8,8;3;1;74;320;59;-69;0
9,2;8;1;-42;956;68;-70;0
3,2;8;2;21;996;90;44;0
7,2;9;4;-59;618;-32;9;0
3,7;2;4;-47;629;-8;26;0
1,4;8;0;84;100;-100;-1;0
8,8;7;2;82;336;-44;94;0
0,6;0;3;-44;473;-69;38;0
3,1;4;0;45;403;21;-67;0
6,5;4;3;-41;318;4;9;0
0;2;1;62;943;-56;-63;0
2,6;4;4;-49;-35;15;66;0
1,3;2;0;-72;237;87;-38;0
4;0;3;45;333;-34;64;0
2,8;8;2;-97;738;-15;-54;0
7,9;3;2;14;923;0;-90;0
0,5;0;0;-21;-63;-34;-90;0
1,6;4;0;-86;541;-54;3;0
2;6;1;10;883;-27;21;0
5,4;5;2;-41;64;20;95;0
9;7;1;-25;375;-48;-32;0
0,5;4;4;-28;996;53;-31;0
3,6;3;0;-65;112;42;-77;0
6,9;2;0;-93;50;-11;18;0
5,2;5;3;76;706;-85;1;0
7,6;7;0;-70;968;-66;-47;0
2,1;2;0;79;558;-48;-70;0
1,3;5;1;91;875;72;-65;10
4,8;2;2;-41;796;50;-60;0
8,7;2;0;-48;660;67;6;0
6,1;8;0;-56;496;69;21;0
9,3;9;4;7;103;-13;-4;0
0,3;3;4;69;135;-34;-24;0
5,3;7;3;-69;362;-87;-46;0
0,5;0;3;81;367;24;-32;0
7,2;1;3;-32;-84;14;4;0
2,4;5;2;25;244;44;10;0
8,8;1;0;-5;453;-71;67;0
1;5;3;-76;758;-34;-85;0
8,9;1;2;51;800;-73;76;0
1,5;0;2;-61;739;71;-38;0
1,6;2;2;-79;278;44;-42;0
9,2;6;1;84;419;1;-68;0
6,9;1;4;-54;163;-12;23;0
3,5;9;1;-2;545;33;-30;0
0,7;5;0;47;218;4;46;0
2,9;2;4;-13;570;56;88;0
5,2;2;4;-31;589;44;93;0
9,7;6;3;4;356;39;-8;260
3;1;0;51;-44;88;62;40
1,2;2;3;-64;986;-14;69;0
9,2;0;0;25;626;34;-20;0
6,3;3;1;91;942;-24;65;0
8,8;4;3;74;806;-47;-81;0
0,5;6;0;11;827;-75;98;0
0,7;1;4;27;218;-76;-21;0
6,2;4;3;50;-75;-88;-91;0
8,3;9;1;-80;514;96;32;0
8;1;0;-68;81;49;-51;0
3,7;9;1;63;500;-18;74;0
1,4;3;0;31;187;-14;13;0
9,4;8;2;60;125;-90;-49;0
6,8;8;2;-44;60;-35;-58;0
0,4;8;4;-76;310;-70;-47;0
4,7;4;2;-5;614;-66;-51;0
6,4;1;1;-41;505;-81;37;0
2,3;6;2;91;666;97;72;0
1,2;8;2;-21;-7;31;37;0
4,9;1;1;77;208;-41;-80;0
4;0;4;11;864;-98;-8;0
6,6;1;0;19;151;5;-92;0
2;4;0;35;82;-20;62;0
6,3;9;2;12;465;11;-31;0
0;0;2;-47;781;17;-71;0
6,1;5;4;64;972;-20;65;0
7,3;3;1;71;47;28;-8;0
7,7;2;4;-78;881;-43;-42;0
0,9;5;1;-28;397;-78;55;0
0,7;7;4;-15;931;79;32;0
8,5;2;3;-62;-97;96;19;0
5,4;1;0;-24;906;77;79;0
7,9;4;2;81;229;71;-55;0
9,6;4;2;4;218;-90;3;0
6;3;4;-61;723;60;32;0
9,7;2;4;77;235;39;83;0
3,8;1;2;7;148;75;9;240
3,5;3;3;27;-56;-14;-45;0
7,9;2;0;42;921;-85;78;0
8,3;2;0;-67;-8;-53;88;0
1,2;4;4;98;74;-39;64;0
3;9;2;-88;95;94;16;0
9,5;2;0;41;307;-24;-49;0
0;7;1;-25;580;-95;-65;0
9,4;4;3;-72;604;21;9;0
9,2;6;3;76;34;-10;-56;0
3,6;6;2;50;17;-38;-2;0
9,7;8;3;42;837;37;75;0
6,7;6;4;8;213;29;-77;0
4,1;9;4;7;303;-94;-27;0
5,7;5;3;-51;925;-94;-93;0
1,7;9;2;2;684;36;27;320
6,5;0;1;57;911;33;93;240
0,6;7;1;67;784;-80;-51;0
7,1;6;2;48;204;-76;91;0
3,1;9;0;84;620;68;-20;0
7;4;3;14;960;-4;1;0
8,8;4;2;-11;302;-20;50;0
7,9;4;3;-75;918;58;1;0
2,8;9;4;-13;516;36;-9;0
0,3;3;1;-48;810;13;-33;0
2,3;4;1;68;585;47;-27;0
1,4;0;3;82;696;-60;64;0
5,7;2;0;45;-45;78;4;40
5,2;8;0;-20;781;-91;-17;0
1,7;1;1;7;818;-17;71;0
9,4;4;2;-40;-44;-72;11;0
9,1;0;2;67;424;27;-74;10
0,5;1;2;55;640;62;-10;240
5,8;1;1;64;662;89;42;240
9;5;2;77;764;93;95;0
7,7;6;2;99;726;93;26;0
8;6;3;-36;352;-44;23;0
0,1;8;2;-68;563;-20;-78;0
3,6;1;4;-29;113;69;-28;0
5,7;1;3;38;634;-69;-100;0
5,1;8;2;84;831;64;-45;0
4,6;6;3;-44;629;-82;55;0
6,5;9;3;-64;522;72;78;0
4,5;6;3;11;32;-46;-19;0
5,3;9;1;48;40;22;-54;0
9,7;9;0;51;539;66;-1;0
5,3;2;2;6;727;16;81;240
1,6;1;1;-80;222;-78;83;0
2,5;8;2;45;505;74;-89;0
6,3;4;2;7;428;9;84;0
9,6;5;0;97;-68;-22;34;0
3,9;1;3;-27;655;0;84;0
8,4;8;0;66;453;-37;-25;0
1,1;5;4;-94;960;-13;45;0
7,3;0;0;-46;-60;96;81;0
5,7;3;1;-48;688;-52;-61;0
7,3;8;3;72;303;-73;70;0
6,1;3;4;95;152;9;57;0
0,2;0;0;-87;950;89;68;0
0,4;5;2;30;472;-98;33;0
5,3;6;0;57;-19;-65;-46;0
6,4;2;1;19;231;74;-24;240
6,8;1;0;61;379;-76;-77;0
3;2;1;52;224;-29;9;0
3,7;1;0;69;39;-63;38;0
7,2;7;2;-69;306;3;-85;0
7,3;8;4;30;-19;-8;-24;0
3,6;3;0;-84;876;9;-28;0
4,1;9;3;55;803;44;-55;0
1,6;1;3;-65;653;37;-46;0
3,7;7;0;-87;568;-92;91;0
4,5;3;3;-56;881;-68;14;0
7,5;1;1;-53;605;-34;-99;0
8,3;7;2;9;772;70;-37;0
6,9;1;0;-23;754;-78;14;0
6,4;9;2;-45;457;-20;98;0
5,8;9;4;85;514;30;90;0
9,3;2;2;-92;289;-48;-19;0
0;6;4;62;107;28;7;0
1,7;7;4;-77;-45;99;52;0
2,5;8;3;-74;922;-97;-78;0
7,3;5;1;-53;117;-28;-51;0
9,1;4;2;-16;834;-67;52;0
2,8;7;4;-37;737;-10;27;0
2,4;9;4;1;620;-62;-19;0
4,5;9;2;-16;171;-42;37;0
0,8;4;3;98;206;-42;-45;0
2,4;4;4;-60;816;-100;-49;0
0,9;8;3;-67;523;-5;93;0
5,6;4;4;8;91;68;-2;0
5,9;8;1;20;859;-86;-7;0
2,4;1;1;-4;75;-29;-62;0
4,8;0;1;64;107;-70;98;0
0,9;8;2;36;798;43;-28;20
0,4;6;2;-80;393;57;5;0
6;4;3;92;919;58;30;0
6,8;4;3;-19;30;54;69;0
3,4;7;4;96;659;-1;-84;0
0,3;8;1;-89;292;-80;-1;0
4,2;7;4;42;530;33;-62;0
6;5;1;-48;295;-32;75;0
4,2;7;0;39;937;2;-17;0
9,5;6;4;51;215;-12;41;0
6,1;3;3;14;657;-70;14;0
7,1;8;3;9;17;31;-50;0
1,6;6;1;-34;71;-60;47;0
1,5;2;4;-18;547;-84;21;0
0,3;9;3;-43;146;-3;-5;0
2,6;5;0;34;108;-39;98;0
8,6;3;2;67;842;-67;43;0
0,2;5;0;-74;165;93;56;0
0,4;7;1;-81;-22;92;-8;0
9;0;3;76;87;55;36;0
0,7;2;2;93;884;49;81;240
8,5;5;0;46;906;78;-44;0
4;5;2;96;470;38;-100;0
8,3;8;4;-77;277;6;-58;0
3,6;7;0;37;327;-94;92;0
3,4;5;1;-31;142;75;91;0
2,1;1;4;-69;-19;-65;-62;0
4,9;0;4;30;-9;35;-1;0
3,1;6;0;10;136;38;-53;0
7,5;9;3;5;842;-36;-2;0
9,5;2;4;-41;797;-91;-87;0
7,8;0;0;-47;291;-96;23;0
6,8;3;3;-39;289;-7;74;0
9,5;3;3;-99;103;44;-94;0
1,1;2;1;-57;839;39;-9;0
8,8;8;1;-47;595;-15;7;0
5,7;0;1;71;634;23;4;0
6,7;8;1;0;840;23;-85;10
8,8;3;0;26;259;-93;-100;0
7,8;6;0;0;258;-69;34;0
4,2;5;0;44;-60;-33;59;0
3;4;3;3;12;1;-23;0
4,2;0;3;99;-13;-24;-13;0
5,5;2;1;-39;333;7;-100;0
3,3;1;3;-32;405;70;56;0
3,2;1;0;63;211;-45;-51;0
9,2;3;2;-56;481;23;14;0
6,1;4;2;-51;752;-54;-28;0
2,8;7;0;28;777;59;74;0
2,2;9;0;28;621;20;95;0
9,1;5;0;59;14;-62;-82;0
8,8;8;0;73;913;-15;26;0
7,8;3;0;36;578;-17;42;0
3,5;9;2;-3;431;-25;-91;0
4;3;2;74;-87;18;39;0
8,7;3;3;34;-55;-46;40;0
9,3;0;4;75;304;-53;-22;0
5,6;0;1;-93;104;-47;-12;0
5,8;4;4;24;797;-91;11;0
5,3;6;0;81;818;87;-4;0
0,2;3;3;15;61;-99;81;0
8,5;6;4;-77;54;30;-17;0
3,1;1;0;65;259;-50;68;0
8,3;7;4;-55;144;-71;-43;0
4,4;9;2;6;225;82;-20;0
6;7;2;-93;185;7;7;0
8,7;1;0;34;334;-73;47;0
5;9;1;1;657;28;-57;320
6,1;6;2;84;847;23;-62;0
6,7;3;3;68;716;-97;-18;0
4,4;5;2;-87;684;-40;41;0
6,2;8;0;65;-93;9;92;0
9,8;1;0;21;198;-63;87;0
0,5;9;4;-21;910;-31;98;0
7,8;2;2;30;35;-35;-62;0
4,1;8;0;95;269;1;-89;0
7,5;5;1;70;-24;-55;97;0
2,5;6;3;-6;809;-6;39;0
6,2;7;0;58;953;43;-24;0
5,8;5;3;76;146;54;67;0
3,1;0;2;87;651;76;12;240
3,6;5;0;69;32;-100;-41;0
6,2;7;0;-41;839;-1;5;0
0,8;9;4;-25;766;35;58;0
9,7;6;2;69;400;-70;-66;0
6,5;1;4;-72;550;-74;89;0
1,2;9;2;67;686;-83;-49;0
8,1;4;2;-26;202;-39;92;0
0,9;5;0;79;125;54;-54;20
9,8;6;0;33;837;-75;-22;0
6,4;2;2;-48;298;16;94;0
9,2;3;2;-86;548;6;90;0
1,5;9;1;-65;826;-59;-69;0
5,5;9;0;-23;298;42;11;0
3,4;4;0;72;956;73;-73;0
2,1;0;4;82;698;98;-66;0
1,8;5;2;23;161;-45;-67;0
6,6;9;4;-99;908;-53;66;0
2,9;3;1;-100;855;-18;-83;0
9,4;3;1;25;632;63;16;0
9,5;4;3;-77;137;96;88;0
4,1;6;4;-76;378;-23;-28;0
5,2;2;4;-92;595;-40;35;0
6,4;6;4;71;536;-84;83;0
1,5;2;4;14;410;17;-52;0
4,7;1;4;40;178;78;41;0
6,8;3;2;-14;-71;44;75;0
1,3;3;1;-94;461;81;-17;0
8,1;7;2;27;887;-96;-38;0
4,6;9;1;94;781;-76;-49;0
1,2;0;2;-25;352;93;-90;0
2,5;4;2;10;297;-93;92;0
8,6;6;0;90;649;64;-96;0
3,1;3;2;-29;859;-21;32;0
3,9;2;3;-56;559;24;-57;0
3,1;8;0;-81;931;-27;-99;0
3,8;0;0;7;979;-31;11;0
3,2;2;0;-76;234;-54;19;0
7,1;9;1;7;525;-23;61;0
1,5;8;4;52;356;48;71;0
7,9;9;4;48;398;-98;9;0
3;4;0;78;-44;-80;86;0
9,6;6;2;-41;330;24;-86;0
8,7;7;3;-27;978;-60;20;0
1,3;1;1;13;562;40;-55;240
3;2;3;70;142;-91;4;0
5,1;2;2;3;210;74;-19;240
2,4;2;1;-96;36;56;-62;0
2,2;0;1;-6;791;89;84;0
2,7;7;2;-11;342;41;-66;0
4,2;9;4;-66;528;9;32;0
5,3;3;2;39;262;-62;-29;0
8,7;0;1;-5;912;-94;76;0
1,5;3;0;-18;12;19;-85;0
4,9;0;4;76;80;-54;-53;0
3,7;5;3;10;156;5;64;0
7,3;7;4;-4;727;13;37;0
7,2;0;3;-4;643;-42;-19;0
5,9;7;4;-7;944;16;-46;0
2,8;6;4;-67;957;-76;-93;0
4,8;6;4;37;453;-88;-2;0
